domain,street_address,suburb,state,postcode,source_confidence,source_note
lendi.com.au,"Bay 14, 2 Locomotive Street",Eveleigh,NSW,2015,High,National headquarters at South Eveleigh Locomotive Workshop (Lendi Group Pty Ltd)
shippit.com,"Level 2, 4-6 Bligh Street",Sydney,NSW,2000,High,Global headquarters & product center (Shippit Pty Ltd)
sendle.com,33 Saunders Street,Pyrmont,NSW,2009,High,Corporate headquarters & product office (Sendle Pty Ltd)
ofload.com,"Ground Floor, 155 Clarence Street",Sydney,NSW,2000,High,Headquarters & operations office (Ofload Pty Ltd)
superhero.com.au,"Level 14, 309 Kent Street",Sydney,NSW,2000,High,Corporate headquarters & fintech operations (Superhero Financial Services Pty Ltd)
hellostake.com,"Level 11, 1 Margaret Street",Sydney,NSW,2000,High,Corporate headquarters (Stake / Stakeshop Pty Ltd)
sitemate.com,"Level 1, 477 Pitt Street",Sydney,NSW,2000,High,Corporate headquarters & product engineering (Sitemate Pty Ltd)
agriwebb.com,"Level 6, 2-12 Foveaux Street",Surry Hills,NSW,2010,High,Global headquarters & product team (AgriWebb Pty Ltd)
assignar.com,"Suite 301, 55 Mountain Street",Ultimo,NSW,2007,Medium,Australian subsidiary registered location in Sydney (Assignar Pty Ltd)
wooliesx.com.au,372 Elizabeth Street,Surry Hills,NSW,2010,High,Woolworths Group digital innovation & tech campus (WooliesX)
barrenjoey.com,"Level 19, Quay Quarter Tower, 50 Bridge Street",Sydney,NSW,2000,High,Corporate headquarters & trading tech center (Barrenjoey Markets Pty Ltd)
nuix.com,"Level 29, 1 Market Street",Sydney,NSW,2000,High,ASX-listed registered office & global HQ (Nuix Limited)
readytech.io,"Level 2, 77 King Street",Sydney,NSW,2000,High,ASX-listed registered office & tech hub (ReadyTech Holdings Limited)
ansarada.com,"Level 2, 58 Bowman Street",Pyrmont,NSW,2009,High,Corporate headquarters & M&A technology center (Ansarada Group)
objective.com,"Level 30, 177 Pacific Highway",North Sydney,NSW,2060,High,ASX-listed registered office & global headquarters (Objective Corporation Limited)
baraja.com,14 Julius Avenue,North Ryde,NSW,2113,High,Corporate headquarters & optical R&D facility (Baraja Pty Ltd)
rea-group.com,511 Church Street,Richmond,VIC,3121,High,ASX-listed global headquarters & tech center (REA Group Ltd)
seek.com.au,60 Cremorne Street,Cremorne,VIC,3121,High,ASX-listed global headquarters & engineering hub (SEEK Limited)
cultureamp.com,29 Stewart Street,Richmond,VIC,3121,High,Global headquarters & product engineering (Culture Amp Pty Ltd)
airwallex.com,"Level 7, 15 William Street",Melbourne,VIC,3000,High,Australian headquarters & engineering center (Airwallex Pty Ltd)
cargroup.com,"Level 4, 449 Punt Road",Richmond,VIC,3121,High,ASX-listed registered office & global HQ (CAR Group Limited)
myob.com,168 Cremorne Street,Cremorne,VIC,3121,High,Corporate headquarters & innovation center (MYOB Australia Pty Ltd)
envato.com,121 King Street,Melbourne,VIC,3000,High,Corporate headquarters & product team (Envato Pty Ltd)
linktr.ee,1-9 Sackville Street,Collingwood,VIC,3066,High,Global headquarters & product engineering (Linktree Pty Ltd)
judobank.com.au,"Level 3, 40 City Road",Southbank,VIC,3006,High,ASX-listed registered office & banking tech HQ (Judo Bank Pty Ltd)
papercut.com,"Level 1, 3 Prospect Hill Road",Camberwell,VIC,3124,High,Global headquarters & software development lab (PaperCut Software International Pty Ltd)
up.com.au,"Level 7, 271 Collins Street",Melbourne,VIC,3000,High,Software engineering team & digital banking lab (Ferocia Pty Ltd)
redbubble.com,"Level 12, 697 Collins Street",Docklands,VIC,3008,High,ASX-listed registered office & product engineering (Redbubble Limited)
catapult.com,"Level 2, 630 Church Street",Richmond,VIC,3121,High,ASX-listed registered office & wearable technology R&D (Catapult Group International Ltd)
rome2rio.com,"Level 1, 29 Stewart Street",Richmond,VIC,3121,High,Global headquarters & transport algorithm engineering (Rome2rio Pty Ltd)
buildxact.com,"Level 1, 411 Collins Street",Melbourne,VIC,3000,High,Corporate headquarters & SaaS development (Buildxact Software Pty Ltd)
myzeller.com,"Level 12, 541 St Kilda Road",Melbourne,VIC,3004,High,Corporate headquarters & payment hardware lab (Zeller Pty Ltd)
meandu.com,"Level 4, 108-112 Langridge Street",Collingwood,VIC,3066,High,Corporate headquarters & hospitality tech center (ME&U AU Trading Pty Ltd)
whispir.com,"Level 29, 385 Bourke Street",Melbourne,VIC,3000,High,Corporate registered office & engineering hub (Whispir Limited)
pageuppeople.com,"Suite S5051, Level 5, 447 Collins Street",Melbourne,VIC,3000,High,Corporate headquarters & talent software lab (PageUp People Pty Ltd)
iress.com,"Level 16, 385 Bourke Street",Melbourne,VIC,3000,High,ASX-listed registered office & financial software HQ (Iress Limited)
hansencx.com,"Level 13, 31 Queen Street",Melbourne,VIC,3000,High,ASX-listed registered office & utility software hub (Hansen Technologies Limited)
yellowfinbi.com,"Level 11, 470 Collins Street",Melbourne,VIC,3000,High,Corporate headquarters & BI analytics development (Yellowfin International Pty Ltd)
birchal.com,"Level 4, 459 Church Street",Richmond,VIC,3121,High,Primary office & crowdsourced funding platform operations (Birchal Pty Ltd)
defendtex.com,46-52 Bessemer Drive,Dandenong South,VIC,3175,High,Defense technology manufacturing & robotics lab (DefendTex Pty Ltd)
sentientvision.com,1/85 Salmon Street,Port Melbourne,VIC,3207,High,Headquarters & computer vision engineering lab (Sentient Vision Systems Pty Ltd)
technologyonecorp.com,"Level 11, 540 Wickham Street",Fortitude Valley,QLD,4006,High,ASX-listed corporate headquarters & ERP development center (TechnologyOne Limited)
megaport.com,"Level 3, 825 Ann Street",Fortitude Valley,QLD,4006,High,ASX-listed global headquarters & network engineering center (Megaport Limited)
octopus.com,"Level 4, 199 Grey Street",South Brisbane,QLD,4101,High,Global headquarters & DevOps development hub (Octopus Deploy Pty Ltd)
clipchamp.com,"Level 3, 315 Brunswick Street",Fortitude Valley,QLD,4006,High,Microsoft video engineering center & original HQ (Clipchamp Pty Ltd)
redeye.co,"Level 6, 313 Adelaide Street",Brisbane City,QLD,4000,High,Corporate headquarters & asset engineering SaaS (RedEye Apps Pty Ltd)
simprogroup.com,"Building 17, 2404 Logan Road",Eight Mile Plains,QLD,4113,High,Global headquarters & field service software center (simPRO Software Pty Ltd)
go1.com,"Units 4 & 5, 2908 Logan Road",Underwood,QLD,4119,High,Global headquarters & learning technology center (Go1 Pty Ltd)
fctgcareers.com,275 Grey Street,South Brisbane,QLD,4101,High,Global technology headquarters at Southpoint (Flight Centre Travel Group Limited)
citrusad.com,"Level 2, 99 Melbourne Street",South Brisbane,QLD,4101,High,Retail media adtech engineering center (CitrusAd Pty Ltd)
autogeneral.com.au,"Level 13, 9 Sherwood Road",Toowong,QLD,4066,High,Digital insurance pricing & technology center at Toowong Tower (Auto & General Insurance Company Ltd)
skedulo.com,"Level 1, 47 Warner Street",Fortitude Valley,QLD,4006,High,Australian engineering headquarters (Skedulo Pty Ltd)
swyftx.com,"Level 4, 50 McDougall Street",Milton,QLD,4064,High,Corporate headquarters & crypto trading platform engineering (Swyftx Pty Ltd)
workingmouse.com.au,"Unit C1, 55 Railway Terrace",Milton,QLD,4064,High,Software engineering lab & model-driven development office (WorkingMouse Pty Ltd)
emlpayments.com,"Level 19, 288 Edward Street",Brisbane City,QLD,4000,High,ASX-listed registered office & payments fintech HQ (EML Payments Limited)
redbacktech.com,"Unit 1A, 172 Evans Road",Salisbury,QLD,4107,High,Solar IoT engineering center & software lab (Redback Technologies Pty Ltd)
camplify.com.au,42 Union Street,Wickham,NSW,2293,High,ASX-listed principal place of business & operations HQ (Camplify Holdings Limited)
nib.com.au,22 Honeysuckle Drive,Newcastle,NSW,2300,High,ASX-listed corporate headquarters & digital health tech hub (nib holdings limited)
mudbath.com.au,"Level 8, 710 Hunter Street",Newcastle West,NSW,2302,High,Regional digital product design & engineering studio (Mudbath / Endava Pty Ltd)
energyrenaissance.com,7 Epsom Drive,Tomago,NSW,2322,High,Renaissance One gigafactory & cyber-secure BMS engineering (Energy Renaissance Pty Ltd)
portauthoritynsw.com.au,"Level 4, 251 Wharf Road",Newcastle,NSW,2300,High,"Maritime navigation, vessel tracking, and harbor telemetry tech center (Port Authority of NSW)"
tibra.com,108 Lawrence Hargrave Drive,Austinmer,NSW,2515,High,Algorithmic trading engineering & quantitative research center (Tibra Capital Pty Ltd)
easyagile.com,"Level 6, 6-8 Regent Street",Wollongong,NSW,2500,High,Global headquarters & Jira plugin product development (Easy Agile Pty Ltd)
accelo.com,"Level 4, 6-8 Regent Street",Wollongong,NSW,2500,High,Australian software engineering hub (Accelo Pty Ltd)
devika.com,"Suite 2, 24 Young Street",Wollongong,NSW,2500,High,"Spatial software, VR, and AI technology studio (Devika Opsco Pty Ltd)"
hysata.com,1 Darcy Road,Port Kembla,NSW,2505,High,Global headquarters & hydrogen electrolyser development facility (Hysata Pty Ltd)
scalapay.com,"UOW Innovation Campus, Squires Way",North Wollongong,NSW,2500,Medium,Regional engineering office at University of Wollongong Innovation Campus (Scalapay Australia Pty Ltd)
cottonongroup.com,14 Shepherd Court,North Geelong,VIC,3215,High,Global headquarters & digital e-commerce technology campus (Cotton On Group Services Pty Ltd)
carbonrev.com,"Building NR, 75 Pigdons Road",Waurn Ponds,VIC,3216,High,Advanced composite manufacturing & robotics automation facility (Carbon Revolution Limited)
bendigobank.com.au,"The Bendigo Centre, 22-44 Bath Lane",Bendigo,VIC,3550,High,ASX-listed corporate headquarters & core banking systems technology hub (Bendigo and Adelaide Bank Limited)
formbird.com,"Unit 3, 320 Bay Road",Cheltenham,VIC,3192,Medium,Low-code platform developer founded with City of Greater Bendigo; corporate registered office (Formbird Pty Ltd)
youi.com.au,2 Smart Drive,Sippy Downs,QLD,4556,High,Australian digital insurance campus & data science center (Youi Pty Ltd)
typefi.com,1/61-63 Primary School Court,Maroochydore,QLD,4558,High,Global headquarters & publishing automation software lab (Typefi Systems Pty Ltd)
gspacetech.com,62 Millaroo Drive,Helensvale,QLD,4212,High,Launch vehicle manufacturing & aerospace engineering headquarters (Gilmour Space Technologies Pty Ltd)
firstwave.com,"Level 13, 50 Cavill Avenue",Surfers Paradise,QLD,4217,High,Network management & cybersecurity software headquarters (FirstWave Cloud Technology / Opmantek)
archtis.com,"Level 3, 10 National Circuit",Barton,ACT,2600,High,ASX-listed corporate headquarters & defense cyber engineering (archTIS Limited)
penten.com,"Level 1, 216 Northbourne Avenue",Braddon,ACT,2612,High,Sovereign cyber security & AI electronic warfare headquarters (Penten Pty Ltd)
quintessencelabs.com,"Unit 11, 18 Brindabella Circuit",Canberra Airport,ACT,2609,High,Global headquarters & quantum cybersecurity lab (QuintessenceLabs Pty Ltd)
instaclustr.com,"Building 22B, University of Canberra",Bruce,ACT,2617,High,Open-source data infrastructure engineering center at University of Canberra (Instaclustr / NetApp)
seeingmachines.com,80 Mildura Street,Fyshwick,ACT,2609,High,AIM-listed global headquarters & computer vision driver-monitoring lab (Seeing Machines Limited)
liquidinstruments.com,"Suite 1, Level 1, 243 Northbourne Avenue",Lyneham,ACT,2602,High,Reconfigurable FPGA instrumentation R&D headquarters (Liquid Instruments Pty Ltd)
cdcdatacentres.com.au,11 Tom Price Street,Fyshwick,ACT,2609,High,Sovereign data center & cloud interconnect operations facility (Canberra Data Centres Pty Ltd)
data61.csiro.au,"Building 101, 2-40 Clunies Ross Street",Acton,ACT,2601,High,National digital science & artificial intelligence research center at CSIRO Black Mountain (CSIRO Data61)
fleetspace.com,28 Butler Boulevard,Adelaide Airport,SA,5950,High,Global headquarters & satellite mineral exploration telemetry lab (Fleet Space Technologies Pty Ltd)
myriota.com,"Level 1, McEwin Building, Lot Fourteen, North Terrace",Adelaide,SA,5000,High,Satellite IoT communications headquarters & transmitter hardware lab (Myriota Pty Ltd)
fivecast.com,80 Hutt Street,Adelaide,SA,5000,High,Global headquarters & OSINT threat intelligence engineering center (Fivecast Pty Ltd)
maptek.com,31 Flemington Street,Glenside,SA,5065,High,Global headquarters & 3D mining software development lab (Maptek Pty Ltd)
lumary.com.au,"Level 22, One Festival Tower, Station Road",Adelaide,SA,5000,High,Healthcare & NDIS practice management platform headquarters (Lumary Pty Ltd)
complexica.com,"Level 2, Complexica Building, 9 Charles Street",West Lakes,SA,5021,High,Enterprise AI supply chain decision software headquarters (Complexica Pty Ltd)
consilium.technology,147 Pirie Street,Adelaide,SA,5000,High,Defense AI & agtech remote sensing laboratory (Consilium Technology / Aurizn Pty Ltd)
dremio.com,"Lot Fourteen, North Terrace",Adelaide,SA,5000,Medium,Australian engineering center & data lakehouse development lab at Stone & Chalk (Dremio Australia)
archerx.com.au,"Lot Fourteen, Frome Road",Adelaide,SA,5000,High,ASX-listed quantum computing processor development facility (Archer Materials Limited)
imdex.com,216 Balcatta Road,Balcatta,WA,6021,High,ASX-listed global headquarters & subsurface mining sensor development lab (IMDEX Limited)
micromine.com,"Level 6, 251 St Georges Terrace",Perth,WA,6000,High,Global headquarters & 3D geological exploration software lab (Micromine Pty Ltd)
vgw.co,9 The Esplanade,Perth,WA,6000,High,Global headquarters & high-scale digital gaming engineering center (VGW Holdings Limited)
qoria.com,"Level 1, 177 St Georges Terrace",Perth,WA,6000,High,ASX-listed registered office & child digital safety engineering HQ (Qoria Limited)
healthengine.com.au,"Level 4, 503 Murray Street",Perth,WA,6000,High,Corporate headquarters & healthcare booking platform engineering (HealthEngine Pty Ltd)
wemoney.com.au,186 St Georges Terrace,Perth,WA,6000,High,Corporate headquarters & Open Banking mobile fintech engineering (WeMoney Pty Ltd)
k2fly.com,4/502 Hay Street,Subiaco,WA,6008,High,Corporate headquarters & natural resource governance SaaS lab (K2fly Pty Ltd)
nearmap.com,"Level 1, 1002 Hay Street",Perth,WA,6000,High,Aerial photogrammetry & camera systems engineering lab (Nearmap / Spookfish)
mineralresources.com.au,20 Walters Drive,Osborne Park,WA,6017,High,"ASX-listed corporate HQ, remote operations center & autonomous haulage systems engineering (Mineral Resources Limited)"
nuheara.com,190 Aberdeen Street,Northbridge,WA,6003,High,Corporate headquarters & smart hearing audio algorithm development lab (Nuheara Limited)
biteable.com,"Level 2, 162 Macquarie Street",Hobart,TAS,7000,High,Corporate video software development studio & founding office (Biteable Pty Ltd)
theyield.com,50 Holt Street,Surry Hills,NSW,2010,High,Corporate headquarters; founded out of Tasmanian oyster IoT research trials (The Yield Technology Solutions Pty Ltd)
secretlab.com.au,"Level 1, 127-131 Macquarie Street",Hobart,TAS,7000,High,Video game tools engineering & narrative technology lab (Secret Lab Pty Ltd)
area9.com.au,20 Catterthun Street,Winnellie,NT,0820,High,Sovereign cloud infrastructure & IT software engineering center (Area9 Pty Ltd)
tts.com.au,8 Albatross Street,Winnellie,NT,0820,High,Enterprise IT systems integration & software solutions office (Territory Technology Solutions Pty Ltd)
kineticit.com.au,"Level 5, 24 Mitchell Street",Darwin,NT,0800,High,Northern Territory managed cloud engineering & enterprise services hub (Kinetic IT Pty Ltd)
