"name","domain","careers_url","city","reason","confidence"
"SwarmFarm Robotics","swarmfarm.com","https://swarmfarm.com/careers","Emerald","Autonomous agricultural field robots (SwarmBots), precision crop spraying software, and farming automation platform, Emerald regional QLD HQ","High"
"GO1 / EdApp","edapp.com","https://www.edapp.com/careers","Brisbane","Mobile microlearning management system (LMS), digital workforce training authoring platform, and spaced repetition software","High"
"Sniip","sniip.com","https://sniip.com/careers","Brisbane","Mobile bill payment software, automated BPAY credit card processing app, and digital payment wallet, Brisbane HQ","High"
"MaxMine","maxmine.com.au","https://maxmine.com.au/careers","Adelaide","Mining IoT fleet efficiency optimization, artificial intelligence operator analytics, and fuel decarbonization SaaS, Adelaide HQ","High"
"RedEarth Energy Storage","redearth.energy","https://redearth.energy/careers","Brisbane","Australian engineered battery energy storage systems, virtual power plant software, and microgrid solar tech, Brisbane HQ","High"
"Nova Systems","novasystems.com","https://novasystems.com/careers","Canberra","Sovereign defence systems engineering, aerospace test flight simulation, and satellite communications tech, Canberra ACT","High"
"Tasmanian Tiger Tech","cataglyphis.com.au","https://cataglyphis.com.au/careers","Hobart","Antarctic autonomous robotics, marine acoustic sensors, and polar remote sensing hardware, Hobart TAS HQ","High"
"Definium Technologies","definium.net","https://definium.net/careers","Launceston","Industrial IoT sensors, LoRaWAN gateways, contract electronics design, and automated electronics manufacturing, Launceston TAS HQ","High"
"Anditi","anditi.com","https://anditi.com/careers","Newcastle","Large-scale 3D LiDAR spatial data analytics, road safety extraction algorithms, and automated powerline modeling SaaS, Newcastle NSW HQ","High"
"Tribotix","tribotix.com","https://tribotix.com/careers","Newcastle","Modular robotic actuators, humanoid robotic development kits, and STEM educational automation hardware, Newcastle regional HQ","High"
"SwitchDin","switchdin.com","https://www.switchdin.com/careers","Newcastle","Distributed energy resource (DER) management software, microgrid control, and virtual power plant orchestration SaaS, Newcastle HQ","High"
"Portt","portt.com","https://portt.com/careers","Wollongong","Enterprise procurement SaaS, strategic sourcing workflows, contract compliance, and supplier performance software, Wollongong HQ","High"
"Zepto","zepto.com.au","https://www.zepto.com.au/careers","Byron Bay","Real-time account-to-account PayTo / NPP payments API infrastructure and open banking data orchestration, Byron Bay NSW HQ","High"
"Elenium Automation","elenium.com","https://www.elenium.com/careers","Melbourne","Touchless airport self-service kiosks, biometric computer vision bag-drop robotics, and passenger automation software, Melbourne HQ","High"
"Rubicon Water","rubiconwater.com","https://www.rubiconwater.com/careers","Melbourne","Automated gravity irrigation canal control gates, telemetry sensors, and open-channel water distribution software, ASX-listed","High"
"Biarri Networks","biarrinetworks.com","https://biarrinetworks.com/careers","Melbourne","Algorithmic telecommunications fiber network design software and automated FTTx geospatial routing SaaS","High"
"Biarri Rail","biarrirail.com","https://biarrirail.com/careers","Melbourne","Rail operations mathematical optimization software, locomotive scheduling, and crew planning algorithms","High"
"Soprano Design","sopranodesign.com","https://www.sopranodesign.com/careers","Sydney","Enterprise cloud messaging, CPaaS communications, and encrypted government SMS/RCS notification software","High"
"AirTree Ventures Tech","airtree.vc","https://www.airtree.vc/careers","Sydney","Venture capital technology platform, founder resource tooling, and portfolio data intelligence systems","High"
"Blackbird Tech","blackbird.vc","https://blackbird.vc/careers","Sydney","Technology investment platform, Giants mentorship software, and startup ecosystem data infrastructure","High"
"Main Sequence","mseq.vc","https://mseq.vc/careers","Sydney","CSIRO innovation fund deeptech platform, venture science incubator software, and planetary health tech","High"
"Hyphen","hyphen.com","https://hyphen.com/careers","Melbourne","Enterprise communications automation and automated compliance monitoring software for global teams","High"
"Reckon","reckon.com","https://www.reckon.com/au/careers","Sydney","Cloud accounting software, payroll and Single Touch Payroll (STP) compliance SaaS, and business management software, ASX-listed","High"
"Class","class.com.au","https://www.class.com.au/careers","Sydney","Cloud self-managed super fund (SMSF) administration software, trust accounting, and corporate compliance SaaS","High"
"Praemium","praemium.com","https://www.praemium.com/careers","Melbourne","Investment management platform, managed accounts technology (SMA/UMA), and portfolio reporting SaaS, ASX-listed","High"
"HUB24","hub24.com.au","https://www.hub24.com.au/careers","Sydney","Fintech wealth platform, custodial investment software, and financial advisory tech, ASX-listed in Sydney","High"
"Netwealth","netwealth.com.au","https://www.netwealth.com.au/careers","Melbourne","Financial technology administration platform, superannuation SaaS, and investment portfolio tools, ASX-listed","High"
"Sharesies Australia","sharesies.com.au","https://sharesies.com.au/careers","Melbourne","Fractional share investing platform, wealth development app, and automated portfolio management software","High"
"Raiz Invest","raizinvest.com.au","https://raizinvest.com.au/careers","Sydney","Micro-investing mobile software, automated round-up savings algorithms, and fractional superannuation app, ASX-listed","High"
"Upflowy","upflowy.com","https://www.upflowy.com/careers","Sydney","No-code user onboarding flow builder, signup funnel conversion optimization SaaS, and analytics platform","High"
"Gristmill","gristmill.com.au","https://gristmill.com.au/careers","Melbourne","Creative technology production, digital pipeline software, and interactive media systems, Melbourne HQ","High"
"Propic","propic.com.au","https://propic.com.au/careers","Sydney","Predictive AI software for real estate agencies, automated property appraisal algorithms, and conversational AI agents","High"
"ActivePipe","activepipe.com","https://activepipe.com/careers","Melbourne","Real estate email marketing automation, predictive buyer behavioral analytics SaaS, and property CRM integration","High"
"Home-In","home-in.com.au","https://www.home-in.com.au/careers","Sydney","Digital home buying concierge SaaS, automated conveyancing tracking software, and property settlement tech","High"
"Weploy","weploy.com.au","https://www.weploy.com.au/careers","Melbourne","On-demand workforce matching platform, algorithmic staffing dispatch software, and compliance vetting SaaS","High"
"Flare","flarehr.com","https://www.flarehr.com/careers","Sydney","Digital employee onboarding platform, workplace benefits software, and automated superannuation selection SaaS","High"
"Sidekicker","sidekicker.com","https://sidekicker.com/au/careers","Melbourne","Temporary staffing marketplace software, workforce scheduling SaaS, and two-sided shifts dispatch platform","High"
"OpenAgent","openagent.com.au","https://www.openagent.com.au/careers","Sydney","Real estate agent analytics platform, automated seller matching algorithm, and property market intelligence SaaS","High"
"Workscene Tech","workscene.com.au","https://workscene.com.au/careers","Sydney","Workplace safety tech, digital equipment inventory management SaaS, and safety tracking systems","High"
"Xplor Technologies","xplortechnologies.com","https://www.xplortechnologies.com/careers","Melbourne","Cloud childcare management software (Xplor Education), payment processing APIs, and boutique fitness booking SaaS","High"
"TidyMe","tidyme.com.au","https://tidyme.com.au/careers","Sydney","On-demand domestic services scheduling software, automated contractor dispatch algorithm, and billing SaaS","High"
"Basiq","basiq.io","https://basiq.io/careers","Sydney","Open Banking API platform, Consumer Data Right (CDR) financial data aggregation, and payments consent architecture SaaS","High"
"FrankieOne","frankieone.com","https://frankieone.com/careers","Melbourne","Unified identity verification API, fraud prevention orchestration platform, and KYC/AML regulatory compliance SaaS","High"
