"domain","street_address","suburb","state","postcode","source_confidence","source_note","source_url"
"mx51.io","Level 14, 175 Pitt Street","Sydney","NSW","2000","High","First-party merchant payment orchestration software headquarters","https://mx51.io/contact/"
"slyp.com.au","Level 1, 285 George Street","Sydney","NSW","2000","High","First-party smart receipts software engineering office","https://www.slyp.com.au/contact"
"finclear.com.au","Level 14, 15 Castlereagh Street","Sydney","NSW","2000","High","First-party wholesale trade clearing technology headquarters","https://finclear.com.au/contact/"
"onmarket.com.au","Level 12, 115 Pitt Street","Sydney","NSW","2000","High","First-party investment crowdfunding technology headquarters","https://www.onmarket.com.au/contact-us/"
"openmarkets.com.au","Level 40, 140 William Street","Melbourne","VIC","3000","High","First-party digital brokerage API technology headquarters","https://openmarkets.com.au/contact-us/"
"bglcorp.com","Suite 2, 606 Hawthorn Road","Brighton East","VIC","3187","High","First-party superannuation and corporate compliance software headquarters","https://www.bglcorp.com/contact/"
"microkeeper.com.au","Level 2, 10 Moorabool Street","Geelong","VIC","3220","High","First-party regional payroll tech engineering headquarters","https://microkeeper.com.au/contact"
"clockon.com.au","Suite 2, 38 Mann Street","Gosford","NSW","2250","High","First-party workforce management and payroll software office","https://www.clockon.com.au/contact"
"farmo.com.au","10/12 Albert Street","Preston","VIC","3072","High","First-party agricultural IoT hardware and cloud portal headquarters","https://farmo.com.au/pages/contact"
"mobble.io","Level 1, 150 Lonsdale Street","Melbourne","VIC","3000","High","First-party livestock management software development office","https://www.mobble.io/contact-us"
"optiweigh.com.au","151 Mann Street","Armidale","NSW","2350","High","First-party regional livestock hardware engineering and assembly facility","https://optiweigh.com.au/contact-us/"
"agerris.com","Building J04, 170 Cleveland Street","Darlington","NSW","2008","High","First-party University of Sydney field robotics laboratory spinout","https://agerris.com/contact/"
"laconik.com.au","Unit 2, 28 Salvado Road","Wembley","WA","6014","High","First-party precision agriculture software development centre","https://laconik.com.au/contact/"
"rapidaim.com","Level 5, 200 Adelaide Street","Brisbane","QLD","4000","High","First-party CSIRO spinout pest sensor intelligence headquarters","https://rapidaim.com/contact/"
"goget.com.au","Level 1, 47-53 Cooper Street","Surry Hills","NSW","2010","High","First-party shared mobility telematics engineering centre","https://www.goget.com.au/contact-us"
"ridezoomo.com","Level 1, 15 Bowden Street","Alexandria","NSW","2015","High","First-party light electric vehicle design and telematics centre","https://www.ridezoomo.com/contact"
"happy.co","Level 1, 238 Pirie Street","Adelaide","SA","5000","High","First-party property technology software engineering office","https://happy.co/contact"
"procurepro.co","Level 4, 300 Ann Street","Brisbane","QLD","4000","High","First-party construction procurement technology headquarters","https://procurepro.co/contact/"
"groundplan.com","Level 1, 56 Nerang Street","Southport","QLD","4215","High","First-party blueprint estimating software development office","https://www.groundplan.com/contact-us"
"1breadcrumb.com","Level 2, 452 Flinders Street","Melbourne","VIC","3000","High","First-party site safety mobile technology headquarters","https://1breadcrumb.com/contact-us/"
"sympli.com.au","Level 8, 1 Chifley Square","Sydney","NSW","2000","High","First-party property e-conveyancing settlement network headquarters","https://www.sympli.com.au/contact/"
"vendorpanel.com","Level 1, 69 River Street","South Yarra","VIC","3141","High","First-party procurement software engineering headquarters","https://vendorpanel.com/contact"
"bigtincan.com","Level 6, 68 Pitt Street","Sydney","NSW","2000","High","First-party sales enablement AI technology headquarters","https://www.bigtincan.com/contact-us/"
"theforage.com","Level 2, 285 George Street","Sydney","NSW","2000","High","First-party education simulations technology development office","https://www.theforage.com/contact"
"withyouwithme.com","Level 7, 100 Christie Street","St Leonards","NSW","2065","High","First-party tech workforce assessment software office","https://withyouwithme.com/contact/"
"literacyplanet.com","Level 2, 28 Lake Cabarita Place","Robina","QLD","4226","High","First-party digital educational software headquarters","https://www.literacyplanet.com/contact/"
"livehire.com","Level 10, 461 Bourke Street","Melbourne","VIC","3000","High","First-party talent acquisition technology headquarters","https://www.livehire.com/contact-us/"
"nextdc.com","Level 4, 20 Wharf Street","Brisbane","QLD","4000","High","First-party sovereign cloud colocation and connectivity headquarters","https://www.nextdc.com/contact-us"
"macquarietechnologygroup.com","Level 15, 2 Park Street","Sydney","NSW","2000","High","First-party sovereign telecom and cloud infrastructure headquarters","https://macquarietechnologygroup.com/contact/"
"swoop.com.au","Level 5, 126 Phillip Street","Sydney","NSW","2000","High","First-party telecommunications network operations centre","https://www.swoop.com.au/contact-us/"
"appen.com","Level 6, 9 Help Street","Chatswood","NSW","2067","High","First-party AI training data platform global headquarters","https://appen.com/contact-us/"
"cubiko.com.au","15 Astor Terrace","Spring Hill","QLD","4000","High","First-party healthcare intelligence software headquarters","https://www.cubiko.com.au/contact"
"flyfreely.io","Level 1, 10 Browning Street","West End","QLD","4101","High","First-party drone operations software headquarters","https://flyfreely.io/contact/"
"tesserent.com","Level 5, 650 Chapel Street","South Yarra","VIC","3141","High","First-party cybersecurity operations centre headquarters","https://tesserent.com/contact-us"
"senetas.com","312 Kings Way","South Melbourne","VIC","3205","High","First-party hardware encryption engineering and manufacturing headquarters","https://senetas.com/contact/"
"hotdoc.com.au","Level 2, 222 Exhibition Street","Melbourne","VIC","3000","High","First-party patient engagement software headquarters","https://www.hotdoc.com.au/contact/"
