name,domain,city,harvest_status,source_url,http_status,page_title,meta_description,diagnostic,next_action
Hnry,hnry.com.au,Sydney,metadata_captured_needs_human_assessment,https://hnry.com.au,200,Hnry | Tax for sole traders | Never think about tax again™,"Hnry is Australia's largest accounting service for sole traders, making sure they never have to think about tax again.",,Assess this primary-source metadata before creating a seed fixture.
Barcats,barcats.com.au,Melbourne,metadata_captured_needs_human_assessment,https://www.barcats.com.au/,200,Barcats | Australia's #1 Hospitality Jobs & Community,"Join 220,000+ hospitality staff on Australia's largest community. Find bar, restaurant & hotel jobs fast. Free training, events & industry news.",,Assess this primary-source metadata before creating a seed fixture.
Wiise,wiise.com,Melbourne,metadata_captured_needs_human_assessment,https://www.wiise.com/,200,Wiise - ERP for Australian Businesses | Powered by Business Central,"Scalable ERP software made to fit ANZ Businesses. Manage finances, payroll, inventory, manufacturing and more, in one system. Powered by Business Central",,Assess this primary-source metadata before creating a seed fixture.
TalentVine,talentvine.com.au,Melbourne,metadata_captured_needs_human_assessment,https://www.talentvine.com.au/,200,Find & Compare Specialist Recruitment Agencies | TalentVine,Australian businesses like yours use TalentVine to find and engage specialist recruitment consultants at competitive fees and terms.,,Assess this primary-source metadata before creating a seed fixture.
Proda,proda.ai,Sydney,metadata_captured_needs_human_assessment,https://proda.ai,200,Commercial real estate software - PRODA,"Get automated, standardized, error-checked rent roll data in no time – any format, asset class, language or currency. Try PRODA for free.",,Assess this primary-source metadata before creating a seed fixture.
Prospection,prospection.com,Sydney,metadata_captured_needs_human_assessment,https://www.prospection.com/,200,Prospection | Uplift Care-and-Share,Helping pharmaceutical brand teams unlock patient-centric intelligence to drive better patient care outcomes and capture market share opportunities.,,Assess this primary-source metadata before creating a seed fixture.
Acredia,acredia.com.au,Sydney,metadata_captured_needs_human_assessment,https://acredia.au/,200,"Acredia | Seamless Compliance, Elevated Care",Acredia empowers aged care providers with an innovative platform designed to enhance compliance and improve quality of care.,,Assess this primary-source metadata before creating a seed fixture.
Meld Gold,meld.gold,Sydney,metadata_captured_needs_human_assessment,https://www.meld.gold/,200,Meld Gold,The future of digital gold,,Assess this primary-source metadata before creating a seed fixture.
Valocity,valocity.co,Auckland,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Moshi,moshi.ai,Melbourne,metadata_captured_needs_human_assessment,https://moshi.ai,200,Moshi | Transform your ads into conversations that convert Instagram Facebook Instagram,Moshi is a conversational AI sales agent. Every click opens a DM that sells and follows up while you sleep.,,Assess this primary-source metadata before creating a seed fixture.
Glow,glow.earth,Melbourne,reachable_but_metadata_unavailable,https://glow.earth,403,,,HTTP 403,Find an authoritative company source before creating a seed fixture.
Verifyy,verifyy.com.au,Brisbane,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Kambr,kambr.com,Melbourne,metadata_captured_needs_human_assessment,https://amadeus.com/en/airlines/products/segment-revenue-management-flex,200,Segment Revenue Management Flex: Airline Revenue Management | Amadeus,Achieve top performance with Segment Revenue Management Flex. Turn data into new opportunities thanks to this solution from Amadeus. Learn more.,,Assess this primary-source metadata before creating a seed fixture.
CancerAid,canceraid.com,Sydney,metadata_captured_needs_human_assessment,https://osarahealth.com/,200,Osara Health | Home,"Transforming the care in cancer We empower individuals affected by cancer to thrive through clinical expertise, empathy, and human connection. Osara for Organizations Osara for Individuals Millions of people have access to Osara’s programs and coaches. Our programs Empowering individuals living with cancer through empathy and technology. Supporting them starts with supporting you. Results we’re […]",,Assess this primary-source metadata before creating a seed fixture.
PayTo Platform,payto.net.au,Sydney,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Pearlii,pearlii.com,Sydney,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Mobi Technologies,mobi.com.au,Melbourne,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Actionstep,actionstep.com,Auckland,metadata_captured_needs_human_assessment,https://www.actionstep.com/,200,Actionstep | Law Firm Management Software,Build your firm advantage with Actionstep: The legal management software that offers comprehensive control over your success. Perfect your legal workflows and build better client experiences.,,Assess this primary-source metadata before creating a seed fixture.
RocketBoots,rocketboots.com,Brisbane,metadata_captured_needs_human_assessment,https://www.rocketboots.com/,200,Optimizing business with Computer Vision & Machine Learning - RocketBoots,"RocketBoots is an ASX listed company applies the power of mathematics, computer science and machine learning to fundamental business problems.",,Assess this primary-source metadata before creating a seed fixture.
Openn Negotiation,openn.com.au,Perth,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Limepay,limepay.com.au,Sydney,metadata_captured_needs_human_assessment,https://meetapril.com/,200,Home - April,,,Assess this primary-source metadata before creating a seed fixture.
Cognian Technologies,cognian.com,Perth,reachable_but_metadata_unavailable,https://www.aeristech.com/,202,,,,Find an authoritative company source before creating a seed fixture.
Tandem,tandem.com.au,Melbourne,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Koda Capital,kodacapital.com,Sydney,metadata_captured_needs_human_assessment,https://kodacapital.com,200,Home - Koda Capital,Investors deserve genuinely independent advice – and the better outcomes that come with it. That’s why we have pioneered a distinctively different approach to wealth management.,,Assess this primary-source metadata before creating a seed fixture.
Coder Academy,coderacademy.edu.au,Brisbane,metadata_captured_needs_human_assessment,https://coderacademy.edu.au,200,Accredited Coding Courses | Coder Academy,"Learn to code at Australia’s original accredited coding bootcamp academy. We offer hands-on, engaging coding courses for everyone.",,Assess this primary-source metadata before creating a seed fixture.
Airsheet,airsheet.co,Melbourne,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Cover More,covermore.com.au,Sydney,metadata_captured_needs_human_assessment,https://www.covermore.com.au/,200,Pack Cover-More travel insurance and worry less,"Planning a trip? Pack award-winning Cover-More insurance. Get cover for overseas medical costs, smartphones, 24/7 assistance, and more. Fast quotes.",,Assess this primary-source metadata before creating a seed fixture.
Siteassist,siteassist.co,Sydney,metadata_captured_needs_human_assessment,https://www.siteassist.com/,200,SiteAssist | Control of Works Platform for High-Risk Sites,"Digital Control of Works platform for high-risk industries. Standardise safety processes, reduce incidents, and improve compliance across construction and utilities.",,Assess this primary-source metadata before creating a seed fixture.
Paydirt,paydirt.com.au,Brisbane,metadata_captured_needs_human_assessment,https://www.paydirt.com.au/,200,Australia's Mining Magazine | Paydirt Media,"Australia top resources news media with two global magazines, targeting industry decision-makers and investors",,Assess this primary-source metadata before creating a seed fixture.
Serenity Forge,serenityforge.com,Brisbane,metadata_captured_needs_human_assessment,https://serenityforge.com,200,Serenity Forge | Home,"Serenity Forge is a video game publisher and development studio based in Boulder, CO. We create meaningful games that challenge the way you think.",,Assess this primary-source metadata before creating a seed fixture.
Azility,azility.com,Brisbane,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Cirralto,cirralto.com.au,Adelaide,reachable_but_metadata_unavailable,https://cirralto.com.au,200,,,,Find an authoritative company source before creating a seed fixture.
Meticore,meticore.com.au,Perth,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Neto,netohq.com,Brisbane,metadata_captured_needs_human_assessment,https://netohq.com,200,Neto by Maropost: Operations Engine for Scaled ANZ Brands,"Stop the App Tax & overselling. Neto is the only ANZ engine with native WMS, Inventory & Shipping built-in. Scale your AU & NZ brand, not your tech debt.",,Assess this primary-source metadata before creating a seed fixture.
Scape Australia,scape.com.au,Brisbane,metadata_captured_needs_human_assessment,https://www.scape.com.au/,200,Scape Student Accommodation,"Scape student accommodation in Melbourne, Sydney, Brisbane & Adelaide. Live near uni with comfort, convenience & a vibrant community.",,Assess this primary-source metadata before creating a seed fixture.
Fareharbor AU,fareharbor.com,Gold Coast,metadata_captured_needs_human_assessment,https://fareharbor.com,200,FareHarbor | Online Booking Software for Tours and Activities FareHarbor X formerly Twitter Instagram LinkedIn Facebook,"FareHarbor is the best online booking software for your business. We help tour operators and rental companies manage, sell, and scale. Schedule a demo today!",,Assess this primary-source metadata before creating a seed fixture.
Machinify AU,machinify.com,Sydney,metadata_captured_needs_human_assessment,https://www.machinify.com/,200,Healthcare Payment Integrity Solutions | Machinify,"Machinify offers AI-powered healthcare payment integrity solutions to enhance claims accuracy, recovery performance, and cost control.",,Assess this primary-source metadata before creating a seed fixture.
Airvantage AU,airvantage.io,Sydney,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Arpa,arpa.com.au,Sydney,metadata_captured_needs_human_assessment,https://arpa.com.au,200,Home - Association for Reformed Political Action,Your Action. Australia’s Future. Sign up to stay informed. Resources Gender Identity Research Paper Podcast Series – Reformed Politics Vaccination Research Paper for Western Australia Euthanasia Part 4: Overseas lessons,,Assess this primary-source metadata before creating a seed fixture.
Opsian,opsian.com,Sydney,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Mimecast AU,mimecast.com,Sydney,metadata_captured_needs_human_assessment,https://www.mimecast.com/,200,Human Risk Management & Advanced Email Security | Mimecast,Protect email and collaboration tools with Mimecast. Manage human risk and stay ahead of cyber threats with advanced security solutions.,,Assess this primary-source metadata before creating a seed fixture.
Tablo Publishing,tablo.io,Melbourne,metadata_captured_needs_human_assessment,https://tablo.io,200,"Tablo | Create, Print & Publish Books","Tablo is used by more than 100,000 writers, from debut novelists to New York Times bestsellers, to self-publish eBook, Paperback and Hardcover books to nearly every bookstore in the world.",,Assess this primary-source metadata before creating a seed fixture.
Geoscience Australia Digital,ga.gov.au,Canberra,metadata_captured_needs_human_assessment,https://www.ga.gov.au/,200,Geoscience Australia,Geoscience Australia is Australia's pre-eminent public sector geoscience organisation. We are the nation's trusted advisor on the geology and geography of Australia. We apply science and technology to describe and understand the Earth for the benefit of Australia.,,Assess this primary-source metadata before creating a seed fixture.
Agflow,agflow.com,Sydney,reachable_but_metadata_unavailable,https://agflow.com,200,,,,Find an authoritative company source before creating a seed fixture.
Airposium,airposium.com.au,Melbourne,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
DX Labs,dxlabs.com.au,Perth,metadata_captured_needs_human_assessment,https://dxlabs.com.au,200,"Decisions that hold up, AI that knows its place","We make consequential decisions run, automated and auditable, then pair that with AI and immersive experiences that work solo or together.",,Assess this primary-source metadata before creating a seed fixture.
Fyfe,fyfe.com.au,Perth,metadata_captured_needs_human_assessment,https://fyfe.com.au,200,Fyfe | Brisbane Adelaide Melbourne Perth Darwin Sydney,"Fyfe is an Australian professional services firm that delivers integrated engineering, environmental, planning and surveying services.",,Assess this primary-source metadata before creating a seed fixture.
Groundswell Ag,groundswellag.com.au,Toowoomba,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Farmwall,farmwall.io,Adelaide,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Lumos Energy,lumosenergy.com.au,Melbourne,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Powow,powow.com.au,Adelaide,metadata_captured_needs_human_assessment,https://powow.com.au,200,Powow – Your solar partner | Solar products and payment plans for solar businesses Australia,,,Assess this primary-source metadata before creating a seed fixture.
Resi,resi.com.au,Brisbane,metadata_captured_needs_human_assessment,https://resi.com.au,200,Resi Home Loans | Mortgages,,,Assess this primary-source metadata before creating a seed fixture.
Scamwatch Tech,scamwatch.tech,Canberra,metadata_captured_needs_human_assessment,https://scamwatch.tech/login,200,Sign in,,,Assess this primary-source metadata before creating a seed fixture.
Aptree,aptree.com.au,Melbourne,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Commusoft AU,commusoft.com,Sydney,metadata_captured_needs_human_assessment,https://www.commusoft.com/en-us/,200,Field Service Management Software | Commusoft | Schedule a Call,,,Assess this primary-source metadata before creating a seed fixture.
WaterNSW Digital,waternsw.com.au,Sydney,reachable_but_metadata_unavailable,https://www.waternsw.com.au/,403,,,HTTP 403,Find an authoritative company source before creating a seed fixture.
Corelink,corelink.com.au,Sydney,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Limelight Health AU,limelighthealth.com,Sydney,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Relectrify,relectrify.com,Melbourne,metadata_captured_needs_human_assessment,https://www.relectrify.com/au,200,Relectrify | Engineered for the best in battery storage,,,Assess this primary-source metadata before creating a seed fixture.
Jord Winkel,jordwinkel.com.au,Sydney,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Domo AU,domo.com,Sydney,reachable_but_metadata_unavailable,https://domo.com,405,,,HTTP 405,Find an authoritative company source before creating a seed fixture.
Zeelo AU,zeelo.co,Sydney,metadata_captured_needs_human_assessment,https://zeelo.co,200,All-in-one provider for group transportation | Zeelo,"Zeelo is an Enterprise TransitTech company delivering software and shuttle services that boost trust, efficiency, and sustainability in commuter programs.",,Assess this primary-source metadata before creating a seed fixture.
Skodel,skodel.com,Sydney,metadata_captured_needs_human_assessment,https://skodel.com,200,Psychosocial Risk Assessment | Skodel,"Skodel gets you a regulator ready psychosocial risk assessment done for your workplace. Stay ready for inspections and board reports, always.",,Assess this primary-source metadata before creating a seed fixture.
VenueNow,venuenow.com.au,Sydney,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Meltwater AU,meltwater.com,Sydney,metadata_captured_needs_human_assessment,https://www.meltwater.com/en,200,"Meltwater: Media Intelligence, Social Listening, AI Tracking","Turn media monitoring, social listening and AI signals into actionable intelligence with Meltwater. Make faster, confident decisions and prove PR impact.",,Assess this primary-source metadata before creating a seed fixture.
Rollit,rollit.com.au,Brisbane,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Parbery,parbery.com.au,Canberra,metadata_captured_needs_human_assessment,https://www.parbery.com.au/,200,Parbery Consulting | Consulting Australia,"Parbery provides management consulting, advisory and professional services to government, business and community organisations around Australia.",,Assess this primary-source metadata before creating a seed fixture.
Avanade AU,avanade.com,Sydney,metadata_captured_needs_human_assessment,https://www.avanade.com/en,200,"Sustainable, AI & Cloud Business Services | Avanade","Avanade is the leading provider of cloud and advisory services, AI and sustainable industry solutions across the Microsoft ecosystem.",,Assess this primary-source metadata before creating a seed fixture.
Assembly Label,assemblylabel.com,Melbourne,metadata_captured_needs_human_assessment,https://assemblylabel.com,200,"Assembly Label Official Store: Clothing, Shoes, Home and Lifestyle","An Australian brand, inspired by our coastal landscapes. Discover timeless and versatile fashion for men, women and kids, homewares and lifestyle designs by Assembly Label. Order online for free shipping for all Australian orders and 14 day returns.",,Assess this primary-source metadata before creating a seed fixture.
Modibodi,modibodi.com,Sydney,metadata_captured_needs_human_assessment,https://www.modibodi.com/,200,Period Undies & Swimwear for Adults & Teens | Modibodi AU,"Modibodi is the original period underwear and swimwear, designed to absorb leaks, maximise comfort and support every flow. Move with confidence and shop now.",,Assess this primary-source metadata before creating a seed fixture.
Dronedesk AU,dronedesk.net,Brisbane,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Ecoplanet,ecoplanet.com.au,Sydney,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Blueshift AU,blueshift.com,Sydney,metadata_captured_needs_human_assessment,https://blueshift.com,200,Blueshift | AI-Powered Customer Engagement Platform,"The AI-powered alternative to Braze and Iterable. Blueshift gives mid-market B2C teams unified customer data, cross-channel automation, and predictive AI - in one platform.",,Assess this primary-source metadata before creating a seed fixture.
Yoti AU,yoti.com,Melbourne,metadata_captured_needs_human_assessment,https://www.yoti.com/,200,Building the world's trusted identity platform • Yoti,Our comprehensive suite of customer verification tools make it easy for businesses to be compliant and safe for people to prove who they are.,,Assess this primary-source metadata before creating a seed fixture.
Brightflag AU,brightflag.com,Sydney,metadata_captured_needs_human_assessment,https://brightflag.com,200,Legal spend management: e-billing and matter management,"Brightflag is an intuitive AI-powered ELM platform with e-billing, matter management, and vendor management capabilities designed for in-house legal teams",,Assess this primary-source metadata before creating a seed fixture.
Workgrid AU,workgrid.com,Sydney,metadata_captured_needs_human_assessment,https://www.workgrid.com/,200,AI Assistant for Work Productivity | Workgrid,"Enhance productivity, focus, and the digital employee experience with Workgrid's AI Assistant. Your AI Copilot for work.",,Assess this primary-source metadata before creating a seed fixture.
Synapse,synapse.com.au,Perth,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
LCI Education AU,lcieducation.com,Sydney,reachable_but_metadata_unavailable,https://lcieducation.com,429,,,HTTP 429,Find an authoritative company source before creating a seed fixture.
LeafLink AU,leaflink.com,Sydney,metadata_captured_needs_human_assessment,https://www.leaflink.com/,200,Wholesale Cannabis Marketplace,"The wholesale cannabis marketplace for brands, distributors, and retailers — streamline ordering across every legal U.S. market.",,Assess this primary-source metadata before creating a seed fixture.
Dataro,dataro.io,Sydney,metadata_captured_needs_human_assessment,https://dataro.io,200,Dataro — Predictive AI for Nonprofit Fundraising,"Dataro sits on top of your CRM and turns donor data into ranked lists and clear next actions, so you know who to focus on and what to do next.",,Assess this primary-source metadata before creating a seed fixture.
Pax8 AU,pax8.com,Sydney,metadata_captured_needs_human_assessment,https://www.pax8.com/en-au/,200,The Pax8 Cloud Marketplace | Pax8 AU,"Pax8 is the leading Marketplace that helps every small business turn their dreams into reality through the power of AI-driven technology, community and education.",,Assess this primary-source metadata before creating a seed fixture.
Canary Technologies AU,canarytechnologies.com,Sydney,metadata_captured_needs_human_assessment,https://canarytechnologies.com,200,Canary | #1 Award-Winning Hospitality Management System,"Canary's award-winning hospitality software improves the guest experience, streamlines operations and boosts revenue. Trusted by 20,000+ hotels worldwide.",,Assess this primary-source metadata before creating a seed fixture.
Nudge Education,nudge.com.au,Melbourne,metadata_captured_needs_human_assessment,https://www.nudge.com.au/,200,Nudge – Take Back Control!,"Reach your goals sooner, debt-free. Help is on its way, and you're invited to join us for the journey...",,Assess this primary-source metadata before creating a seed fixture.
Birdseye Analytics,birdseye.com.au,Brisbane,metadata_captured_needs_human_assessment,https://birdseye.com.au,200,Home | Birdseye,,,Assess this primary-source metadata before creating a seed fixture.
Neccton AU,neccton.com,Melbourne,reachable_but_metadata_unavailable,https://www.openbet.com/products/neccton,429,,,HTTP 429,Find an authoritative company source before creating a seed fixture.
Lexis Nexis AU,lexisnexis.com.au,Sydney,metadata_captured_needs_human_assessment,https://www.lexisnexis.com/en-au,200,LexisNexis Australia | Legal Solutions Powered by AI,"Explore legal solutions from LexisNexis Australia, powered by trusted data, analytics, and AI to help legal professionals make faster, more confident decisions.",,Assess this primary-source metadata before creating a seed fixture.
Fulcrum GT,fulcrumgt.com,Sydney,reachable_but_metadata_unavailable,https://fulcrumgt.com,200,,,,Find an authoritative company source before creating a seed fixture.
Juno Journey AU,junojourney.com,Melbourne,metadata_captured_needs_human_assessment,https://www.junojourney.com/,200,Juno Journey - Award winning all-in-one L&D platform,Advancing AI for employees' professional success,,Assess this primary-source metadata before creating a seed fixture.
Judo Bank,judo.bank,Melbourne,reachable_but_metadata_unavailable,https://www.judo.bank:443/,403,,,HTTP 403,Find an authoritative company source before creating a seed fixture.
Penzo,penzo.com.au,Canberra,metadata_captured_needs_human_assessment,https://penzo.com.au,200,Penzo – Penzo,,,Assess this primary-source metadata before creating a seed fixture.
Fynd AU,fynd.in,Melbourne,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Bubblegum,bubblegum.work,Sydney,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
1spatial AU,1spatial.com,Sydney,metadata_captured_needs_human_assessment,https://1spatial.com,200,1Spatial | Global Leaders in Managing Geospatial Data | 1Spatial,"1Spatial is a geospatial data management and master data management provider, delivering real value by making geospatial data current, automated, complete and consistent.",,Assess this primary-source metadata before creating a seed fixture.
Ohmie Go AU,ohmie-go.com,Melbourne,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Isobar AU,isobar.com,Sydney,reachable_but_metadata_unavailable,https://www.dentsucreative.com/,429,,,HTTP 429,Find an authoritative company source before creating a seed fixture.
