name,domain,careers_url,city,reason,confidence,source_url,technology_rationale
Versent,versent.com.au,https://versent.com.au/careers,Melbourne,"Cloud-native transformation architectures, automated AWS DevOps pipelines, and enterprise identity security, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://versent.com.au,"Versent | Digital Transformation Experts & Cloud Consultants Versent delivers purpose-built AWS cloud solutions for leading enterprises in AUS, SG and USA. Explore our digital transformation services."
Austeng Tech,austeng.net.au,https://austeng.net.au/careers,Geelong,"Specialised robotic prototyping, advanced composite resin transfer moulding equipment, and industrial automation engineering, North Geelong VIC HQ",Medium - first-party homepage metadata captured,https://austeng.net.au,Austeng Click to open the search input field Visualise Engineer Deliver
Gippsland Water Digital,gippswater.com.au,https://gippswater.com.au/careers,Traralgon,"Regional wastewater quality monitoring telemetry, acoustic pipe leak detection networks, and municipal SCADA automation, Traralgon VIC HQ",Medium - first-party homepage metadata captured,https://www.gippswater.com.au/,"Gippsland Water | Victorian Regional Water Corporation Gippsland Water: Home We supply clean drinking water to over 75,662 households and businesses, and wastewater services to 68,092 households and businesses across 43 towns and communities."
Star of the South Telemetry,starofthesouth.com.au,https://starofthesouth.com.au/careers,Traralgon,"Offshore wind marine lidar wind speed sensors, subsea cable integrity telemetry, and Bass Strait environmental models, Traralgon VIC HQ",Medium - first-party homepage metadata captured,https://southerlyten.com.au/project/star-of-the-south/,"Star of the South | Southerly Ten Star of the South is Australia’s most advanced offshore wind project, proposed off the Gippsland coast in Bass Strait."
Midfield Automation,midfield.com.au,https://midfield.com.au/careers,Warrnambool,"Automated meat processing robotics, 3D carcass scanning vision systems, and RFID cold-storage dispatch, Warrnambool VIC HQ",Medium - first-party homepage metadata captured,https://midfield.com.au,"Midfield Group | Australian-Owned Meat Processor Since 1975 Proudly 100% Australian-owned and family-run since 1975, Midfield Group is a leading meat processor. From farm to plate, we deliver premium beef, lamb and veal domestically and internationally."
Opmantek Software,opmantek.com,https://opmantek.com/careers,Gold Coast,"Automated network management, telecom IT performance auditing, and NMIS server observability software, Gold Coast QLD HQ",Medium - first-party homepage metadata captured,https://firstwave.com/,"AI-Powered Network Compliance & Management | FirstWave One AI-powered suite to discover every device, prove network compliance continuously, and automate remediation across cloud and hybrid networks. Book a demo."
Cityzen Tech,cityzen.com.au,https://cityzen.com.au/careers,Gold Coast,"Urban pedestrian density sensor networks, retail footfall computer vision, and municipal planning analytics, Gold Coast QLD HQ",Medium - first-party homepage metadata captured,https://cityzen.com.au,CityZen CityZen supplies drone and location data services
Mount Isa Mineral Sensors,mountisaminerals.com.au,https://mountisaminerals.com.au/careers,Mount Isa,"Underground deep-mine seismic acoustic monitoring, ventilation air methane sensors, and autonomous underground bogger teleoperation, Mount Isa QLD HQ",Medium - first-party homepage metadata captured,https://www.mountisaminerals.com.au/,Mount Isa Minerals – Queensland’s Premier Critical Minerals Frontier
Pointerra,pointerra.com,https://www.pointerra.com/careers,Perth,"Massive 3D point cloud visualisation, cloud LiDAR compression algorithms, and spatial digital twin analytics, Perth WA HQ",Medium - first-party homepage metadata captured,https://www.pointerra.com/,"Digital Twin & 3D Data Management Platform | Functional Digital Twin Software | Pointerra3D Build functional digital twins that cut workflows, reduce site visits and unlock faster 3D data insights across infrastructure, utilities, transport and mining."
Family Zone Tech,familyzone.com,https://familyzone.com/careers,Perth,"Cloud parental internet controls, school network cyber-filtering hardware, and youth online wellness analytics, West Perth WA HQ",Medium - first-party homepage metadata captured,https://www.qustodio.com:443/en/familyzone/,Family Zone | Qustodio Family Zone has joined forces with Qustodio to help give parents better visibility of their children's online activities and balance screen time.
CVCheck Tech,cvcheck.com,https://cvcheck.com/careers,Perth,"Automated employment background verification, police check credentialing APIs, and workforce compliance SaaS, Osborne Park WA HQ",Medium - first-party homepage metadata captured,https://cvcheck.com,CVCheck Employment Background Screening CVCheck is Australia's leading employment screening and verification provider and is trusted by thousands of employers. Find out how we can streamline your screening and hiring processes today.
SEQTA Software,seqta.com.au,https://seqta.com.au/careers,Perth,"K-12 school teaching and learning management system, student pastoral care analytics, and parent communication portals, Joondalup WA HQ",Medium - first-party homepage metadata captured,https://www.tes.com/en-au/for-schools/seqta,"SEQTA – School learning management system | Tes Discover our leading learning management system SEQTA, previously part of Education Horizons, now part of Tes. Streamline teaching and learning today!"
Bankwest Digital,bankwest.com.au,https://www.bankwest.com.au/about-us/careers,Perth,"Retail digital banking APIs, mobile app financial architectures, and automated customer credit assessment rails, Perth WA HQ",Medium - first-party homepage metadata captured,https://www.bankwest.com.au/,"Just Enough Bank: Home loans, Bank accounts, Credit cards | Bankwest Enjoy just enough bank with an app that fits seamlessly into your day-to-day. Check out our everyday banking, savings accounts, home loans & credit cards."
Silentium Defence,silentiumdefence.com.au,https://www.silentiumdefence.com.au/careers,Adelaide,"Passive radar surveillance sensors, covert airspace monitoring, and sovereign counter-drone electronic warfare systems, Adelaide SA HQ",Medium - first-party homepage metadata captured,https://www.silentiumdefence.com.au/,"Silentium Defence | Passive Radar Systems for Covert Surveillance Silentium Defence is a global leader in passive radar systems for defence and space surveillance. Detect threats covertly — no emissions, no spectrum licence needed."
Dspace Australia,dspace.com,https://www.dspace.com/en/inc/home/company/career.cfm,Adelaide,"Automotive hardware-in-the-loop (HIL) simulation testbenches, autonomous driving sensor simulation, and ECU verification software, Tonsley Adelaide SA HQ",Medium - first-party homepage metadata captured,https://www.dspace.com/en/pub/home.cfm,"Home - dSPACE Around the world, dSPACE helps companies make their visions and ideas come to life faster and more reliably. In this we take pride. We are your partner in simulation and validation."
Saab Australia Digital,saab.com,https://www.saab.com/markets/australia/careers,Adelaide,"9LV naval combat management systems, sovereign naval command and control software, and critical infrastructure security platforms, Mawson Lakes SA HQ",Medium - first-party homepage metadata captured,https://www.saab.com/,"Saab | Keeping people and society safe 644165B1-510F-49FB-8AB0-3185EBD2A97A 03C338FB-EE6F-4BC2-8F6C-1A484FAC7C7E Saab serves the global market of governments, authorities and corporations with products, services and solutions ranging from military defence to civil security."
Port Lincoln Marine Tech,portlincolnmarine.com.au,https://portlincolnmarine.com.au/careers,Port Lincoln,"Southern bluefin tuna oceanic tow-cage acoustic biomass monitors, automated fish feeding underwater cameras, and shark deterrent sonar, Port Lincoln SA HQ",Medium - first-party homepage metadata captured,https://www.portlincolnmarine.com.au/,Port Lincoln Marine | Marine Services and Mercury engine sales in Port Lincoln Explore expert marine services and Mercury engine sales at Port Lincoln Marine. Serving Port Lincoln and Eyre Peninsula with top-quality solutions.
Savage Interactive,procreate.com,https://procreate.com/careers,Hobart,"Digital art illustration and 2D animation engine (Procreate), Valkyrie graphics engine, and GPU-accelerated iPadOS creative tools, North Hobart TAS HQ",Medium - first-party homepage metadata captured,https://procreate.com,"Procreate — Creative apps designed for iPad Powerful and easy-to-use drawing and animation apps, made for both creative professionals and aspiring artists. Pay once. No subscription."
Charles Darwin University Deeptech,cdu.edu.au,https://www.cdu.edu.au/jobs-cdu,Darwin,"Tropical cybersecurity research testbed, northern Australian remote health telemetry platforms, and indigenous language speech algorithms, Casuarina Darwin NT HQ",Medium - first-party homepage metadata captured,https://www.cdu.edu.au/,"Home | Charles Darwin University Charles Darwin University Explore courses, research and student life at Charles Darwin University. Find your future and apply or enquire today."
Employment Innovations,employmentinnovations.com,https://employmentinnovations.com/careers,Sydney,"Automated Australian modern award payroll interpretation software, HR compliance rules engine, and workplace advisory SaaS, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.employmentinnovations.com/,"Outsourced HR & Payroll Services - Employment Innovations Does your SME need outsourced Payroll, HR & Employment services? Contact us now at Employment Innovations to book a free consultation with one of our experts."
Sonder,sonder.io,https://sonder.io/careers,Sydney,"On-demand 24/7 personal safety and wellbeing mobile platform, critical incident geofence alerting, and clinical triage response, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://sonder.io,"Employee Wellbeing Platform | EAP Alternative | Sonder Sonder's employee care platform is the future of workforce health, medical, safety and wellbeing. One platform. All the support. Learn more."
Willow Technology,willowinc.com,https://willowinc.com/careers,Sydney,"Real estate digital twin software (WillowTwin), smart precinct IoT integration, and rail infrastructure digital operations, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://willowinc.com,"Willow | Operational AI Platform for Buildings & Infrastructure Willow is the Operational AI platform for the built world. Unify building systems data, predict failures, cut energy costs, and optimize facilities. Trusted by DFW Airport, Walmart, and leading universities."
Who Gives A Crap,whogivesacrap.org,https://whogivesacrap.org/pages/careers,Melbourne,"Direct-to-consumer sustainability e-commerce architecture, global supply-chain ERP integration, and customer subscription logistics, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://au.whogivesacrap.org/,Toilet paper that builds toilets | Who Gives A Crap AU Help reduce deforestation with eco-friendly products in the AU. 50% of profits donated to global causes. Join us and shop now!
Good Pair Days,goodpairdays.com,https://goodpairdays.com/au/careers,Sydney,"Machine learning wine palate profiling algorithms, personalized direct-to-consumer e-commerce, and logistics fulfillment SaaS, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.goodpairdays.com/au/,Wine Subscriptions Paired To Your Tastes | Good Pair Days
Zero Latency VR,zerolatencyvr.com,https://zerolatencyvr.com/careers,Melbourne,"Free-roam warehouse-scale virtual reality optical tracking hardware, low-latency Wi-Fi 6E streaming, and proprietary multiplayer game engines, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://zerolatencyvr.com,"Global Virtual Reality Experience Provider - Zero Latency VR Immerse yourself in the world’s best virtual reality at Zero Latency. 80+ venues worldwide. Experience untethered, free-roam VR with no cables."
VAPAR,vapar.co,https://vapar.co/careers,Sydney,"Deep learning computer vision for automated municipal stormwater and sewer CCTV pipe fault classification, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.vapar.co/,CCTV Pipe Inspection Software Powered with AI | Vapar Facebook icon X icon LinkedIn icon VAPAR offers CCTV pipe inspection software. The software is AI integrated for better results and accuracy. Prevent pipe failures and make informed pipe network decisions.
CIM Tech,cim.io,https://cim.io/careers,Sydney,"Building analytics PEAK platform, continuous HVAC automated fault detection and diagnosis (FDD), and commercial real estate energy efficiency, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.cim.io/,Smart Building Platform - CIM CIM's AI-driven analytics platform helps you run buildings at peak operational efficiency and achieve sustainability goals.
InDebted,indebted.co,https://indebted.co/careers,Sydney,"Machine-learning driven debt recovery, automated multi-channel borrower engagement, and consumer financial hardship APIs, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.indebted.co/,InDebted | The collections backbone for leading organisations InDebted is changing the world of consumer debt recovery for good by creating a better way for businesses to support their customers to get back on track.
OpenSolar,opensolar.com,https://opensolar.com/careers,Sydney,"Cloud solar design and proposal software, interactive 3D solar array shading models, and solar financing integrations, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.opensolar.com/,"OpenSolar | Accelerating Solar Adoption with Free Software OpenSolar connects homeowners, solar professionals, and partners with free software to design, sell, and manage fast, accurate solar projects."
GivEngineering,givengineering.com,https://givengineering.com/careers,Melbourne,"Custom industrial electronic engineering, connected consumer hardware prototyping, and low-power IoT firmware design, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://givengineering.com,"Electronics Development Company in Usa | Electronics Patenting Company | Electronic Design Consultants | Custom Electronic Products USA - Givengineering.com We designs, develops, and produces innovative custom electronic products. We are also full-service electronic product design and development consultancy."
Lumachain,lumachain.com,https://lumachain.com/careers,Sydney,"Computer vision for meat processing plants, worker safety and yield tracking AI, and global food supply chain traceability, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://lumachain.com,lumachain.com for sale | Spaceship.com lumachain.com is for sale on Spaceship. Secure checkout and quick transfer. See all purchase options. No hidden fees.
Endua,endua.com,https://endua.com/careers,Brisbane,"Modular green hydrogen power generation, microgrid standalone power systems, and polymer electrolyte membrane fuel cells, Archerfield QLD HQ",Medium - first-party homepage metadata captured,https://www.endua.com/,"Endua | Innovative Hydrogen Technology Australia’s leading hydrogen technology and PEM electrolyser manufacturer for remote, industrial and renewable-powered applications."
Splend Tech,splend.com.au,https://splend.com.au/careers,Sydney,"On-demand gig economy vehicle fleet leasing platform, electric vehicle charging telemetry, and rideshare driver telemetry, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.splend.com/,"Splend | Car Ownership for Rideshare Drivers in Australia Change the way you own your rideshare vehicle for good with Splend. All-Inclusive vehicle packages for your Uber journey, in one easy weekly payment."
SmartSat CRC,smartsatcrc.com,https://smartsatcrc.com/careers,Adelaide,"Sovereign space research consortium, cognitive satellite communications, and earth observation artificial intelligence, Lot Fourteen Adelaide SA HQ",Medium - first-party homepage metadata captured,https://smartsatcrc.com,SmartSat CRC A consortium of industry and research organisations that will develop game changing technologies to bootstrap Australia's space industry.
Nanosonics,nanosonics.com.au,https://nanosonics.com.au/careers,Sydney,"Automated ultrasound probe trophon hydrogen peroxide mist disinfection systems and hospital digital infection prevention IoT, Lane Cove NSW HQ",Medium - first-party homepage metadata captured,https://www.nanosonics.com.au/,Home | Nanosonics Home
Polynovo,polynovo.com,https://polynovo.com/careers,Melbourne,"Patented bio-absorbable synthetic polymer skin tissue regeneration matrices (Novosorb) and automated biomedical manufacturing, Port Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://polynovo.com,Revolutionary Synthetic Skin Substitutes | PolyNovo PolyNovo develops innovative medical devices utilising the patented bioabsorbable polymer technology NovoSorb®.
Clinuvel Pharmaceuticals,clinuvel.com,https://clinuvel.com/careers,Melbourne,"Targeted melanocortin receptor peptide pharmaceuticals, controlled-release micro-implants, and systemic photomedicine clinical trials, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://www.clinuvel.com/,Home - CLINUVEL Pioneering photomedicine & PhotoCosmetics
Opthea,opthea.com,https://opthea.com/careers,Melbourne,"Recombinant biologic trap molecules for retinal vascular eye diseases, wet age-related macular degeneration clinical data platforms, South Yarra VIC HQ",Medium - first-party homepage metadata captured,https://ceryvyn.com/,"Ceryvyn — Translating unique science into breakthrough medicines Pioneering the first potentially disease-modifying therapy for lymphangioleiomyomatosis (LAM), combining Australian innovation with international scientific leadership."
Mayne Pharma Tech,maynepharma.com,https://maynepharma.com/careers,Adelaide,"Micro-pellet drug delivery formulation technology, modified-release oral dosage manufacturing automation, and commercial pharmaceutical validation, Salisbury SA HQ",Medium - first-party homepage metadata captured,https://www.maynepharma.com/,Mayne Pharma - Improving patient access to life-enhancing medications Mayne Pharma is an ASX-listed specialty pharmaceutical company focused on commercializing branded and generic pharmaceuticals.
Genetic Signatures,geneticsignatures.com,https://geneticsignatures.com/careers,Sydney,"3base chemical bisulfite modification molecular diagnostics and high-throughput real-time PCR respiratory pathogen screening instruments, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://geneticsignatures.com/au/,Genetic Signatures • Transforming Molecular Diagnostics Genetic Signatures EasyScreen pathogen detection kits provides hospital and pathology laboratories with the molecular tools to screen for a wide array of infectious pathogens in a rapid high-throughput environment. Information about Genetic Signatures Initial Public Offering (IPO) and listing on the ASX can be found in the company's prospectus.
Anatara Lifesciences,anataralifesciences.com,https://anataralifesciences.com/careers,Melbourne,"Gastrointestinal tract mucosal barrier restoration, bromelain-derived veterinary therapeutics, and human irritable bowel syndrome clinical trials, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://anataralifesciences.com,"Home - Anatara Lifesciences Evidence-based treatments for human health We are building a pipeline of evidence-based health products, through in-house development and in-licensing / partnership opportunities. Research Anti-Obesity Anatara’s..."
Dimerix,dimerix.com,https://dimerix.com/careers,Melbourne,"Receptor-heteromer identification technology (Receptor-HIT), chemokine receptor modulators, and focal segmental glomerulosclerosis kidney trials, Fitzroy VIC HQ",Medium - first-party homepage metadata captured,https://dimerix.com,"Dimerix Limited Dimerix is a public a biopharmaceutical company, with a portfolio of drug candidates for inflammatory diseases, including kidney and respiratory diseases."
Invetech Group,invetechgroup.com,https://invetechgroup.com/careers,Melbourne,"Custom diagnostic laboratory instrumentation, automated closed-system cell and gene therapy manufacturing instruments, and IVD microfluidics engineering, Mount Waverley VIC HQ",Medium - first-party homepage metadata captured,https://www.invetechgroup.com/,"Invetech: IVD, Cell & Gene Therapy Development & Manufacturing Invetech's end-to-end design, engineering, and manufacturing solutions propel IVD, cell therapy, and gene therapy innovations forward."
Planet Innovation,planetinnovation.com.au,https://planetinnovation.com.au/careers,Melbourne,"Automated point-of-care diagnostic instrumentation, digital pathology slide scanners, and medical device contract design, Box Hill VIC HQ",Medium - first-party homepage metadata captured,https://planetinnovation.com/,"Planet Innovation - Product Development & Contract Manufacturing PI offers end-to-end product design, engineering, and manufacturing services to develop and commercialize healthcare products."
Grey Innovation,greyinnovation.com,https://greyinnovation.com/careers,Melbourne,"Safety-critical medical equipment commercialisation, NOTUS emergency ICU ventilators, and defence sensor platform engineering, Richmond VIC HQ",Medium - first-party homepage metadata captured,https://www.greyinnovation.com/,Home Grey Innovation
CardieX,cardiex.com,https://cardiex.com/careers,Sydney,"Non-invasive arterial stiffness diagnostic devices (SphygmoCor), central aortic blood pressure pulse wave algorithms, and decentralized clinical trial wearables, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://conneqthealth.com/,"CONNEQT Health | Arterial Health & Blood Pressure Technology Discover CONNEQT Health technology for home and clinical use, with central blood pressure and arterial health insights powered by SphygmoCor."
